id,fetch_id,fetched_at,strike,option_type,expiry,candle_time,open,high,low,close,volume,oi,typical_price,formula,tpv_contribution
14,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:20:00+05:30,160.2,165.85,155.4,161.05,1156870,6273735,160.625,OHLC/4,185822243.75
15,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:25:00+05:30,160.8,162.5,151.15,158.65,1697020,6538740,158.275,OHLC/4,268595840.5
16,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:30:00+05:30,158.25,162.0,151.75,153.4,1390935,6891365,156.35,OHLC/4,217472687.25
17,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:35:00+05:30,153.4,156.95,143.8,145.55,2358785,7036315,149.925,OHLC/4,353640841.125
18,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:40:00+05:30,145.35,151.8,142.0,149.55,2324985,7848945,147.175,OHLC/4,342179667.375
19,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:45:00+05:30,149.3,150.6,146.1,148.3,1207765,8077810,148.575,OHLC/4,179443684.875
20,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:50:00+05:30,148.35,154.0,146.9,153.2,1693965,8210150,150.6125,OHLC/4,255132303.56250003
21,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 10:55:00+05:30,153.2,156.8,147.05,153.95,1693055,8460205,152.75,OHLC/4,258614151.25
22,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:00:00+05:30,153.55,157.65,150.15,153.4,1650220,8525660,153.6875,OHLC/4,253618186.25
23,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:05:00+05:30,153.4,158.4,150.3,151.5,1439815,8612110,153.4,OHLC/4,220867621.0
24,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:10:00+05:30,151.7,155.0,141.85,143.45,1683305,8730995,148.0,OHLC/4,249129140.0
25,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:15:00+05:30,143.55,146.45,136.15,137.1,2638155,9004385,140.8125,OHLC/4,371485200.9375
26,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:20:00+05:30,136.95,140.7,124.55,126.65,3126565,9281740,132.2125,OHLC/4,413370975.0625
27,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:25:00+05:30,126.65,131.95,126.15,128.05,2712125,9924590,128.2,OHLC/4,347694424.99999994
28,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:30:00+05:30,128.05,130.3,125.25,128.3,1701830,10473255,127.97500000000001,OHLC/4,217791694.25
29,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:35:00+05:30,128.3,129.35,121.75,127.75,2865850,10569845,126.7875,OHLC/4,363353956.875
30,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:40:00+05:30,128.1,129.2,122.4,126.45,1952145,11038820,126.53749999999998,OHLC/4,247019547.93749997
31,1,2026-02-19T11:53:02.715,25700.0,CE,2026-02-24,2026-02-19 11:45:00+05:30,126.1,127.2,118.0,124.1,2585895,11313380,123.85,OHLC/4,320263095.75
32,2,2026-02-19T11:55:00.075,25700.0,CE,2026-02-24,2026-02-19 11:50:00+05:30,124.0,124.9,120.6,123.8,2015910,11452090,123.325,OHLC/4,248612100.75
33,3,2026-02-19T12:00:31.153,25700.0,CE,2026-02-24,2026-02-19 11:55:00+05:30,123.8,126.25,121.1,124.45,1617980,11733345,123.89999999999999,OHLC/4,200467722.0
34,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:15:00+05:30,264.95,269.15,242.65,255.3,262925,749450,258.0125,OHLC/4,67837936.5625
35,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:20:00+05:30,255.75,274.05,251.65,254.35,179530,755885,258.95,OHLC/4,46489293.5
36,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:25:00+05:30,253.8,254.3,228.3,228.8,175955,769600,241.3,OHLC/4,42457941.5
37,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:30:00+05:30,229.2,233.05,220.2,221.8,141635,803010,226.0625,OHLC/4,32018362.1875
38,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:35:00+05:30,221.75,230.25,205.45,212.65,231855,819845,217.525,OHLC/4,50434258.875
39,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:40:00+05:30,212.65,215.95,207.95,209.6,144495,912990,211.5375,OHLC/4,30566111.0625
40,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:45:00+05:30,209.0,227.4,207.15,224.45,363870,949065,217.0,OHLC/4,78959790.0
41,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:50:00+05:30,224.45,226.0,207.15,208.6,268970,989820,216.55,OHLC/4,58245453.5
42,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 09:55:00+05:30,209.1,211.8,200.25,205.4,214305,1064180,206.6375,OHLC/4,44283449.4375
43,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:00:00+05:30,205.4,213.0,199.5,212.55,292305,1151605,207.6125,OHLC/4,60686171.8125
44,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:05:00+05:30,212.55,215.0,204.45,208.05,216710,1171820,210.0125,OHLC/4,45511808.875
45,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:10:00+05:30,207.05,210.75,189.25,193.25,322205,1217125,200.075,OHLC/4,64465165.375
46,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:15:00+05:30,193.45,199.0,188.0,194.0,316095,1276925,193.6125,OHLC/4,61199943.1875
47,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:20:00+05:30,193.0,199.0,187.85,194.0,233740,1309880,193.4625,OHLC/4,45219924.75
48,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:25:00+05:30,194.35,195.45,182.25,191.2,360945,1337375,190.8125,OHLC/4,68872817.8125
49,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:30:00+05:30,191.2,194.65,183.25,185.05,329355,1438580,188.53750000000002,OHLC/4,62095768.31250001
50,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:35:00+05:30,185.05,188.8,173.6,175.2,573105,1481610,180.66250000000002,OHLC/4,103538582.06250001
51,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:40:00+05:30,175.2,182.75,171.1,180.0,422370,1600820,177.2625,OHLC/4,74870362.125
52,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:45:00+05:30,180.25,181.0,175.45,178.45,206895,1604720,178.78750000000002,OHLC/4,36990239.81250001
53,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:50:00+05:30,178.45,184.8,176.95,184.0,248560,1621100,181.05,OHLC/4,45001788.0
54,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 10:55:00+05:30,184.0,188.15,177.05,185.15,325065,1659190,183.5875,OHLC/4,59677870.6875
55,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:00:00+05:30,185.15,189.45,180.8,184.65,338195,1683955,185.01250000000002,OHLC/4,62570302.43750001
56,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:05:00+05:30,184.65,190.5,180.95,182.6,307645,1690585,184.67499999999998,OHLC/4,56814340.37499999
57,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:10:00+05:30,182.4,186.5,172.0,173.55,272155,1707225,178.6125,OHLC/4,48610284.9375
58,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:15:00+05:30,173.55,176.7,165.3,166.15,477100,1779765,170.42499999999998,OHLC/4,81309767.49999999
59,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:20:00+05:30,165.65,170.35,151.6,153.95,697320,1837095,160.3875,OHLC/4,111841411.49999999
60,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:25:00+05:30,153.55,160.15,153.25,155.65,805870,2084030,155.65,OHLC/4,125433665.5
61,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:30:00+05:30,155.2,158.05,152.1,155.85,584935,2269280,155.3,OHLC/4,90840405.5
62,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:35:00+05:30,155.85,156.85,148.1,155.0,850525,2260375,153.95,OHLC/4,130938323.74999999
63,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:40:00+05:30,155.0,156.55,148.05,153.4,550940,2425865,153.25,OHLC/4,84431555.0
64,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:45:00+05:30,153.1,154.2,144.5,150.4,990665,2638285,150.54999999999998,OHLC/4,149144615.74999997
65,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:50:00+05:30,150.55,151.15,146.2,149.15,1037335,2778490,149.26250000000002,OHLC/4,154835215.43750003
66,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 11:55:00+05:30,149.2,152.75,146.25,150.15,1090310,3065205,149.5875,OHLC/4,163096747.125
67,4,2026-02-19T12:05:31.272,25650.0,CE,2026-02-24,2026-02-19 12:00:00+05:30,149.75,151.4,140.75,146.45,1726985,3172845,147.08749999999998,OHLC/4,254017906.18749997
