id,recorded_at,step_type,strike,option_type,expiry,candle_time,open,high,low,close,raw_volume,is_interval_volume,incremental_volume,typical_price,formula,tpv_added,cum_tpv_before,cum_volume_before,vwap_before,cum_tpv_after,cum_volume_after,vwap_after
29,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:35:00+05:30,128.3,129.35,121.75,127.75,2865850,1,2865850.0,126.7875,OHLC/4,363353956.875,6772914126.0625,42747315.0,158.4406909781936,7136268082.9375,45613165.0,156.45193844666338
30,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:40:00+05:30,128.1,129.2,122.4,126.45,1952145,1,1952145.0,126.53749999999998,OHLC/4,247019547.93749997,7136268082.9375,45613165.0,156.45193844666338,7383287630.875,47565310.0,155.22420921623342
31,2026-02-19T11:53:02.716,init_candle,25700.0,CE,2026-02-24,2026-02-19 11:45:00+05:30,126.1,127.2,118.0,124.1,2585895,1,2585895.0,123.85,OHLC/4,320263095.75,7383287630.875,47565310.0,155.22420921623342,7703550726.625,50151205.0,153.6064931366056
32,2026-02-19T11:55:00.075,live_update,25700.0,CE,2026-02-24,,124.0,124.9,120.6,123.8,2015910,1,2015910.0,123.325,OHLC/4,248612100.75,7703550726.625,50151205.0,153.6064931366056,7952162827.375,52167115.0,152.43631600817872
33,2026-02-19T12:00:31.153,live_update,25700.0,CE,2026-02-24,,123.8,126.25,121.1,124.45,1617980,1,1617980.0,123.89999999999999,OHLC/4,200467722.0,7952162827.375,52167115.0,152.43631600817872,8152630549.375,53785095.0,151.57787765132701
34,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:15:00+05:30,264.95,269.15,242.65,255.3,262925,1,262925.0,258.0125,OHLC/4,67837936.5625,0.0,0.0,,67837936.5625,262925.0,258.0125
35,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:20:00+05:30,255.75,274.05,251.65,254.35,179530,1,179530.0,258.95,OHLC/4,46489293.5,67837936.5625,262925.0,258.0125,114327230.0625,442455.0,258.39289885412074
36,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:25:00+05:30,253.8,254.3,228.3,228.8,175955,1,175955.0,241.3,OHLC/4,42457941.5,114327230.0625,442455.0,258.39289885412074,156785171.5625,618410.0,253.5294894366197
37,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:30:00+05:30,229.2,233.05,220.2,221.8,141635,1,141635.0,226.0625,OHLC/4,32018362.1875,156785171.5625,618410.0,253.5294894366197,188803533.75,760045.0,248.4109937569486
38,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:35:00+05:30,221.75,230.25,205.45,212.65,231855,1,231855.0,217.525,OHLC/4,50434258.875,188803533.75,760045.0,248.4109937569486,239237792.625,991900.0,241.19144331585846
39,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:40:00+05:30,212.65,215.95,207.95,209.6,144495,1,144495.0,211.5375,OHLC/4,30566111.0625,239237792.625,991900.0,241.19144331585846,269803903.6875,1136395.0,237.42088242864497
40,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:45:00+05:30,209.0,227.4,207.15,224.45,363870,1,363870.0,217.0,OHLC/4,78959790.0,269803903.6875,1136395.0,237.42088242864497,348763693.6875,1500265.0,232.46805976777435
41,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:50:00+05:30,224.45,226.0,207.15,208.6,268970,1,268970.0,216.55,OHLC/4,58245453.5,348763693.6875,1500265.0,232.46805976777435,407009147.1875,1769235.0,230.04809829530842
42,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 09:55:00+05:30,209.1,211.8,200.25,205.4,214305,1,214305.0,206.6375,OHLC/4,44283449.4375,407009147.1875,1769235.0,230.04809829530842,451292596.625,1983540.0,227.5187778542404
43,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:00:00+05:30,205.4,213.0,199.5,212.55,292305,1,292305.0,207.6125,OHLC/4,60686171.8125,451292596.625,1983540.0,227.5187778542404,511978768.4375,2275845.0,224.96205516522434
44,2026-02-19T12:05:31.276,init_candle,25650.0,CE,2026-02-24,2026-02-19 10:05:00+05:30,212.55,215.0,204.45,208.05,216710,1,216710.0,210.0125,OHLC/4,45511808.875,511978768.4375,2275845.0,224.96205516522434,557490577.3125,2492555.0,223.6622972461992
